trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
31,False,"{'a': 0.8, 'e': 0.03815204244769462}",20,0,-15.657421767178828,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
32,False,"{'a': 0.8, 'e': 0.03433683820292516}",20,10,-3.0145048927212077,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
33,False,"{'a': 0.8, 'e': 0.030903154382632643}",20,0,29.935887583424872,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.8, 'e': 0.02781283894436938}",30,23,13.122963023722448,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.8, 'e': 0.025031555049932444}",25,8,26.662798611967567,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.8, 'e': 0.0225283995449392}",20,0,4.309085849572561,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
37,False,"{'a': 0.8, 'e': 0.020275559590445278}",20,8,18.915071357006305,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.8, 'e': 0.01824800363140075}",35,17,35.36030493235764,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.8, 'e': 0.016423203268260675}",25,19,10.803365782976396,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.8, 'e': 0.014780882941434608}",35,3,42.15917369553017,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.8, 'e': 0.013302794647291147}",20,7,19.495426240004402,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.8, 'e': 0.011972515182562033}",20,0,27.176485367033006,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.8, 'e': 0.01077526366430583}",20,14,11.567071441581962,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.8, 'e': 0.009697737297875247}",20,11,15.222050821999186,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.8, 'e': 0.008727963568087723}",25,0,-41.509149676836074,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
46,False,"{'a': 0.8, 'e': 0.00785516721127895}",25,16,15.75109009525869,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.8, 'e': 0.007069650490151055}",25,14,20.325565528915313,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.8, 'e': 0.00636268544113595}",20,6,23.575673514150225,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.8, 'e': 0.005726416897022355}",20,0,25.225831246074186,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.8, 'e': 0.00515377520732012}",25,19,13.932255366811557,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.8, 'e': 0.004638397686588107}",20,12,16.325893494983607,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.8, 'e': 0.0041745579179292966}",20,16,7.11614270217789,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.8, 'e': 0.003757102126136367}",30,14,24.004440011863423,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.8, 'e': 0.00338139191352273}",30,16,23.106672248150332,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.8, 'e': 0.0030432527221704573}",20,4,22.441047879891695,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
